Country,YEAR,REGION,TARGET,TEXT,ALIGNED,NOT_ALIGNED,NEUTRAL_IRRELEVANT,BORDER_CASE,EXPLANATION
Brazil,2017,LAC,CHINA,"O GLOBO, 2016. Argentina sinks a Chinese boat that was fishing illegally. Available at: <http:// oglo bo.globo.com/mundo/argentina-afunda-barco-chines-que-pescava-illegalmente-18883497>.  Accessed on 13 Mar. 2017.",,,X,,It is probably a title of an article and not related to Brazil-China
Brazil,2017,LAC,CHINA,"Prioritization of Asia by the US The intention of the US to deepen its relations in the Asia-Pacific,  considering the excess power of that country, which can be used in favor of allies; existing alliances; and the increase in global trade and security, all with mutual benefits for the actors in question, could establish an environment of greater cooperation and, gradually, for peaceful solutions of old disputes, such as those involving China and Taiwan, North Korea and South Korea, disputes in the South China Sea, among others. 
1",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
Brazil,2016,LAC,CHINA,"twoAustralia 1 China 
Finally, users of these documents are asked to mention the condition of the draft/ proposal of the texts and data in their studies and presentations, until their final approval and publication.",,,X,,Clearly irrelevant.
Chile,2010,LAC,CHINA,"Indeed, today economic elements of mutual benefit are incorporated into the bilateral relationship, with the active participation of the private sector, and cultural factors and the contribution of immigrants are valued. In terms of trade alone, bilateral exchange reached more than 3,000 million dollars in 2008. Chile has become Peru's third largest trading partner, preceded only by two powers (the United States and China) and Chile is Peru's main export space in Latin America. 
PART ONE: THE STATE OF CHILE",,,X,,The text is about Chile-Perù
Brazil,2016,LAC,CHINA,"China  5  namibia  20  Uruguay  6  
In order to allow access to the main ideas and new concepts presented in the present edition of said documents and, mainly, to their prior knowledge by the academic, civil and military community, and society as a whole, such drafts are available for consultation, emphasizing the aspect that the definitive edition will occur after the aforementioned appreciation, by the National Congress, and its subsequent approval by presidential decree.",,,X,,Clearly irrelevant.
Argentina,2010,LAC,CHINA," The global scenario in terms of defense and security is inserted in the framework of an international system that presents recurring imbalances, affecting its stability and sustainability. This system combines the military unipolarity of the United States with a relative but growing political-economic multipolarity. On this level, the United States shares various margins of influence, fundamentally with China (the second largest global economy), Russia, Japan and the European Union.

",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
Brazil,2012,LAC,CHINA,"11 financial G-20 -Group composed by: Germany, Canada, United States, France, Italy, Japan, United Kingdom and Russia, which form the G-8, and also Brazil, Argentina, Mexico, China, India, Australia, Indonesia , Saudi Arabia, South Africa, South Korea, Turkey and the European Union. 
National Defense White Paper",,,X,,China is only listed among G-20 members
Brazil,2012,LAC,CHINA,"BASIC -Brazil, Southern Africa, India and China BID -Defense Industrial Base BNDO -National Ocean Data Bank 
67 Courses for career officers of the Fuerzas Armadas ..................................................... .",,,X,,Not enough info
Mexico,2014,LAC,CHINA,"At the same time, Mexico's status as an emerging power is confirmed by three aspects that are sometimes overlooked: first, the vigor of Mexican culture and its artistic expressions, enormous capital for public diplomacy; second, the status of a megadiverse country, which gives Mexico enormous potential and a special responsibility in biodiversity management and environmental sustainability models; third, the fact that Mexico is a young country: we have an optimal demographic situation to promote economic development. Today, 50 percent of the Mexican population is 26 years old or younger, while in the United States the average age is 37 years old and in China 35 years old.5 
A multidimensional policy for Mexico in the 21st century",,,X,,Not related to Mexico-China relations
Brazil,2012,LAC,CHINA,"0.0  States United  China  Russia  Kingdom United  Franci  Japan  India  arabia saudi  Germany  Brazil  
CHAPTER 3 LA DEFENSA Y EL INSTRUMENTO MILITAR 55",,,X,,Clearly irrelevant.
Brazil,2016,LAC,CHINA,"9 Financial G-20 – Group composed of: Germany, Canada, United States, France, Italy, Japan, United Kingdom and Russia, which form the G-8, and also Brazil, Argentina, Mexico, China, India, Australia, Indonesia, Saudi Arabia, South Africa, South Korea, Turkey and the European Union; Commercial G-20 – Group composed of 23 countries from three continents: South Africa, Argentina, Bolivia, Brazil, Chile, China, Cuba, Egypt, Ecuador, Philippines, Guatemala, India, Indonesia, Mexico, Nigeria, Pakistan, Peru, Paraguay, 
Explanatory note",,,X,,China is only listed among G-20 members
Brazil,2016,LAC,CHINA,"Commercial G-20 – Group of developing countries representing 60% of the rural population, 21% of agricultural production, 26% of exports and 18% of world imports. The grouping comprises 23 countries from three continents – South Africa, Argentina, Bolivia, Brazil, Chile, China, Cuba, Egypt, Ecuador, Philippines, Guatemala, Mexico, India, Indonesia, Nigeria, Pakistan, Peru, Paraguay, Thailand , Tanzania, Uruguay, Venezuela and Zimbabwe – and defends the ambitious fulfillment of the three pillars of the agricultural mandate of the Doha Round, namely, access to markets (tariff reduction), elimination of export subsidies and reduction of internal support (mainly for production). 
Evolution of the population ................................................................................ .................................................................. .....................21 National Defense ..................................................................... .................................................................. ..................................22",,,X,,China is only listed among G-20 members
Jamaica,2013,LAC,CHINA," Early stages of economic development often coincide with a decline in environmental quality. This can be seen clearly in countries such as China today, where their rapid economic development has resulted in an equally rapid deterioration in air and water quality. As a result, many people assume that there is an inherent trade-off, and that some environmental quality must be sacrificed for the sake of economic development. Public debate can then become confrontational, with environmentalists being accused of being anti-development and, by extension, against poverty alleviation, and developers being accused of plundering the inheritance of future generations. 

",,,X,,Text is about water and air quality
Brazil,2020,LAC,CHINA,"Australia, Brazil, Canada, China, South Korea, United States, France, India, Indonesia, Italy, Japan, Mexico, United Kingdom, Russia, Turkey, European Union (European Commission and Presidency of the European Council). G-20 members debate proposals 
15",,,X,,China is only listed among G-20 members
Brazil,2012,LAC,CHINA," The Chino-Brasile  Terrestrial Resources Satellite (CBERS): in July 1988, the governments of Brazil and China signed an agreement for the development of two advanced remote sensing satellites. Thanks to the union of financial and technological resources, a system of divided responsibilities (30% Brazilian and 70% Chinese) was created, with the intention of implementing a complete system for capturing 
CHAPTER 1 THE BRAZILIAN STATE AND THE NATIONAL DEFENSE 15",X,,,,China-Brazil cooperation. SAME OBSERVATION AT ROW 6
Nicaragua,2005,LAC,CHINA,"Barrachina, Carlos. The Participation of Civilians in the Ministries of Defense. Washington DC. 2003. Paper prepared for the II Congress of Latin American Political Science. Mexico, DF University of Quintana Roo. October 1, 2004. 
INDEX",,,X,,"The word ""China"" is not present in the text, but Carlos Barrachina was mentioned and I guess the software took BarraCHINA."
Jamaica,2013,LAC,CHINA,"World energy demand will continue to increase, partly because the world’s population is still growing, and partly because about one-third of the current population still do not have adequate energy supplies. Energy demand is projected to increase by over 50% by 2030, with about 75% of that increased demand coming from China, India and the other new industrial powers. 
To establish a safe and secure environment for the people of Jamaica, so that together we can build a prosperous and progressive society, founded on democracy and liberty, justice and the rule of law, responsibility and respect for human rights and dignity.",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
Ecuador,2014,LAC,CHINA," Even taking this increasingly critical context into account, we can witness the expansion of the Far East and, above all, of China, whose rapid economic growth would position it as a world superpower. It should be noted, however, that the mutual rapprochement carried out in recent years between the Asian giant and the countries of the region occurred, above all, in terms of the market and in the search for better economic opportunities, in a relationship that It has also been reproduced with other countries in the Far East, which have also shown great growth in the last decade. In any case, the growing proximity between Asia and Latin America and, above all, some South American countries such as Ecuador, has also become a revealing information about the important changes motivated by this new geopolitical situation. 
Constitutional President of the Republic 
",X,,,,Cooperation between China and Latin America region and admiration (China as a world superpower)
Switzerland,2020,ECA,CHINA,"This development has led to China now forming a new centre of gravity, in whose orbit innovation and new technologies emerge and whose internal market is sufficiently strong to sustain this capability in the long term. New technologies such as artificial intelligence and targeted interventions in the human genome mean that the technology leader sets the standards for the way in which tech­nology is managed. China is challenging the USA on an equal footing even over the rules that the systems have to play by, something which the Soviet Union was never able to do. There is no fundamentally accepted understanding with China comparable to the Helsinki Final Act (1975) with the Soviet Union. 
The fight against the coronavirus pandemic presents the world with enormous chal­lenges. Curfews and lockdowns, border controls, keeping critical infrastructure going: many states are taking a range of drastic measures to combat further spread of the virus and deal with the consequences of the crisis. Internationally, too, the virus is bringing fundamental changes in many areas. In countries which are already marked by poverty, high levels of population or war, for example, it is exacerbating the situation.",,,X,,Includes objective descriptions or factual statements by the emitting country of the target country or entity without mentioning any cooperation or conflict
UK,2010,ECA,CHINA,"P5  Permanent five members of the UN Security Council: China, France, Russia, United Kingdom and the United States  
Presented to Parliament by the Prime Minister",,,X,,China only mentioned as one of the five permanent members of the UN Security Council
Denmark,2019,ECA,CHINA," The cyber threat is very high and constantly evolving. The threat derives especially from for­eign states, but also stems from criminal groups and other non-state actors with growing access to advanced hacking tools. Many countries seek to achieve political objectives through the use of cyber tools, such as cyber attacks, disinformation and cyber espionage. According to the Danish Defence Intelligence Service, Russia, China, Iran and North Korea are among the most active states. There is a lack of common understanding regarding responsible state behaviour in cyber­space. This increases the risk of misunderstandings and escalation. 

",,X,,,China listed among countries that may pose cyber security and disinformation threats
Lithuania,2023,ECA,CHINA," it is highly likely that Russia’s defeat in the war against ukraine is against China’s interests, especially if it causes the regime change in the Kremlin, as this would lead to strategic uncertainty, which Beijing aspires to avoid. in the near and medium term, Chinese–Russian cooperation on security, defence, diplomacy, economics, energy, technology, and intelligence will intensify; however, in the long term these relations will become increasingly unbalanced. since China and Russia aspire to maintain their strategic autonomy, it is unlikely that the two countries would elevate their cooperation to the status of alliance based on collective defence in the medium term. 
The table below outlines the language of probability and definition of terms used in this assessment: 
",,,X,,Includes neutral language without any normative statements made about the target country or entity
Sweden,2019,ECA,CHINA,"Rev 2019: 8The security policy situation93Road Initiative (BRI) was launched in 2013 with the main purpose to expandinfrastructure in China and abroad. BRI has become centralcomponent of Chinese foreign policy. The defensebelieves that the Silk Road Initiative must be seen and therefore addressed as oneChinese instrument to increase its influence in the world. This appliesin relation to the EU and thus Sweden. The Committee considers thatIt is important that Sweden recognizes the challenge to Swedish interests thatChinese behavior in different areas. It needs toare met with various initiatives, at national as well as at EU level, includingto safeguard the rule-based multilateral world order and forto protect critical infrastructure. Sweden has a strategic interestthat the EU and other countries can reach as far as possibleagreement on China's assertion of power, the use of trade andinvestments to achieve political goals, and the risks of spreadingChinese technology. It is also important that Sweden preventsunwanted dissemination of protective technology.China is a rapidly growing military force and is increasingly operatingglobal military development. The last ten years have been China'sdefense spending has grown the fastest of all major countries in the world. todayonly the US has greater defense spending than China. For five years nowa reform of China's armed forces is underway. In individual areas haveChina already a leading military capability. The lack of combat experiencecan limit China's military capabilities. Especially in South Chinathe sea has shown the country both interest and readiness to implementmilitary operations, through the extension of military facilities on islands,including artificial ones, and reefs in the area. China is developing itsdefense capabilities in space, air and in the marine arena toincrease their capacity to carry out operations far beyond the immediate area;inter alia through the acquisition of aircraft carriers. The upgrading is mainly donewithin the fleet, and China aims to have four in 2035aircraft carrier groups in operations simultaneously.The ability of China's strategic and sub-strategicnuclear weapons arsenal is unclear to outside judges but it islikely to be under development. Qualitative ChineseAbove all, strategic increases in the strategic level consist ofdevelopment of a strategic submarine fleet and technology that enablesrobots with multiple warheads that can be aimed at partially different targets.Cyber â€‹â€‹and space are other priority areas forof capability. China is considered to have both state financial capacity and
IntroductionRev 2019: 818which is the foundation of European security. One moreundermining the respect of the European security regimeprinciples have consequences for Sweden's security. The preparationnotes that Russian decision-making, especially in central foreign countries,and security policy issues, takes place in a tight circle. This means thatDecision-making can take place quickly and therefore often surprise the outside world.At the same time, there is a risk of group thinking as well as rapid andunpublished decisions.Developments in Asia, especially China's rapid development andstrengthened role, will become increasingly important for Swedish foreign-and security policy. Its effects are both direct, such as China'sincreased investment in Europe, and indirect, such as increasedUS security policy and military focus on Asia and thoseconsequences this can have for the US opportunities tocommit to support security in Europe.European states must shoulder more responsibility for their ownsecurity and for their defense. No European state can do it on its ownface all the serious and complex security policies of todaychallenges and threats. The EU is Sweden's most important foreign andsecurity policy platform. A strong transatlantic link iscrucial for Europe's security. The solidarity security policyis the basis for Swedish defense and security policy.The Defense Committee emphasizes the importance of cohesionbe able to protect our sovereignty and Swedish interests. It requires onestrengthened Swedish ability to act collectively to meetchallenges and threats in the local area, in Europe and globally, both inpeacetime as at height readiness. It means being able to use everyonethe security policy instruments available, includingpolitical, diplomatic, economic and military, in a coordinated mannerway.The Committee notes in the Resistance Interim Report that onearmed attacks against Sweden cannot be ruled out. Neither canbe excluded that military means of power or threats of such may comeused against Sweden. Sweden will inevitably be affected by onesecurity crisis or armed conflict arises in our immediate area.The total defense must be designed and dimensioned to meetarmed attack against Sweden including war actions in Swedishterritory.",,X,,,"China as a threat, ""The Committee considers thatIt is important that Sweden recognizes the challenge to Swedish interests thatChinese behavior in different areas"""
Finland,2020,ECA,CHINA,"Finland is aware of China's determined endeavours to strengthen its global status. In issues related to China, Finland will enhance the national coordination and situational awareness. Finland engages in dialogue with China on bilateral and international issues, such as the mitigation of climate change, in which China plays a major role. The economic prospects will be examined on a broad scope.  The efforts to enhance Chinese commitment to the collectively adopted rules-based international system will be continued. Finland is concerned about the deteriorated human rights situation and the narrowing of the freedom of media in China resulting from internal developments. Finland will highlight these matters in its national and EU-level dialogue with China.
Helsinki 2020Printed matter4041-0619NORDIC SWAN ECOLABELPrinted matter1234 5678",X,,,,"This could be a border case, there is the will to cooperate with China in the future but also a strong critique in last part. ""Finland is concerned about the deteriorated human rights situation and the narrowing of the freedom of media in China resulting from internal developments."""
Lithuania,2023,ECA,CHINA," it is highly likely that although social tensions in China will be fueled by slowing economy and unpopular decisions in the near and medium term, any manifestations of discontent will be suppressed with the help of China’s security institutions. As Xi has been increasingly vocal about the alleged threats to national security arising from external actors, ‘colour revolutions’, sabotage, disruptive activities, and pro­motion of separatism, Chinese political leadership is likely to use these arguments increasingly to justify the use of the country’s security apparatus against its citizens. Protests in China are unlikely to have major influence on the regime’s stability in short and near term. 
.	Xi Jinping begins his term with internal tensions rising and China’s foreign policy becoming more assertive. Xi has secured unlimited power and eliminated political rivals, but emerging public dissatisfaction challenges the regime and forces Chinese authorities to strengthen the security apparatus. China demonstrates that it is prepared to cross a red line in its relations with Taiwan. Although military invasion is unlikely, China’s aggression towards Taiwan will increase. Beijing supports Russia in the information and diplomatic domains, helps to mitigate the impact of the sanctions. in the near and medium term, Chinese–Russian cooperation will intensify; however, the relations will become increasingly one-sided. 
",,X,,,"China as a threat, ""China demonstrates that it is prepared to cross a red line in its relations with Taiwan. Although military invasion is unlikely, China’s aggression towards Taiwan will increase. Beijing supports Russia in the information and diplomatic domains, helps to mitigate the impact of the sanctions. in the near and medium term, Chinese–Russian cooperation will intensify; however, the relations will become increasingly one-sided."""
Russia,2023,ECA,CHINA,"4) enhance the capacity and international role of the interstate association of BRICS, the Shanghai Cooperation Organization (SCO), the Commonwealth of Independent States (CIS), the Eurasian Economic Union (EAEU), the Collective Security Treaty Organization (CSTO), the RIC (Russia, India, China) and other interstate associations and international organizations, as well as mechanisms with strong Russian participation; 
Foreign policy Fundamental documents",X,,,,"China as part of BRICS and RIC whom Russia wants ""to enchance the capacity and international role."" Includes a description of cooperative actions with the target country or entity, even if the language itself is neutral, or if the activity took place in the past. "
Sweden,2019,ECA,CHINA,"Rev 2019: 8Content34.8.1China ................................................. ......................... 914.8.2Developments in the rest of Asia .................................... 965Swedish Security Policy ............................................ 1016Sweden's strategic position .......................................... 1076.1 The Military Strategic Situation .............................................. .... 1096.2 The Armed Attack .............................................. ........... 1136.3 Gray zone issues and non-linear warfare .................. 1176.4 Important geographical areas .............................................. .. 1197Military engineering developments ............................... 1217.1 Overall view of technology development ............................ 1227.1.1Systems in collaboration ............................................... 1227.1.2Space-based systems ........................................... 1247.1.3Telecommunication system ................................................. .... 1257.1.4Unmanned systems ............................................. 1257.1.5Electromagnetic weapons etc. ............................. 1267.1.6Sub-strategic nuclear weapons ..................................... 1267.2 Technological developments in the military defense ............................ 1278The development of the armed forces since the end of the war .... 1318.1 The Defense Decree 1992 ............................................... ............ 1328.2 Defense Decree 1995/96 ............................................. ........ 1328.3 Defense Decisions 1999-2001 ............................................. ... 1338.4 The Defense Decision 2004 ............................................... ............ 1358.5 The Defense Decision 2009 ............................................... ............ 1368.6 Defense Decree 2015 ............................................... ............ 1388.7 A changed threat - a changed defense ..................... 1398.8 Settlement and construction .............................................. .. 141
Page 1",,,X,,Summary or index
Netherlands,2023,ECA,CHINA,"C. Increase awareness of this threat among target groups and targets, specifically in connection with China, Turkey, Morocco, Iran and Russia.98 
Security is a key task of the government and therefore it is logical and justified that people look to the government for strengthening national security. A lot of harm and suffering can be prevented by making a proper assessment of all possible threats and determining a clear strategic course. But what the government cannot offer is a hundred percent guarantee of security. There is no such thing as absolute security. Risks can be managed, but not eliminated. Therefore, this Security Strategy also requires people to be alert and prepared. We can create a safe and resilient society only by acting together.",,,X,,Probably not aligned but I cannot say for sure from this text. We do not have enough info and the first sentence is fragmented.
Switzerland,2021,ECA,CHINA," . The Chinese government will continue to follow its strategic plan to become the strongest global power by the middle of the century. China’s rise to major world 
Table of contents 
",,,X,,Includes objective descriptions or factual statements by the emitting country of the target country or entity without mentioning any cooperation or conflict
Norway,2019,ECA,CHINA,"NATO has implemented major reforms since 2014, and is one of few multilateral organisations that is more capable of fulfilling its duties now than just a few years ago. Shifting power relations that affect NATO are primarily Russia’s growing ability and willingness to use military force, and to some degree, the shifting US-China power rela­tions. Russia’s use of force in breach of interna­tional law has undermined security in Europe and cooperation in the OSCE, the Council of Europe and the NATO-Russia Council. However, it has also made NATO more relevant, and created stronger ties among member states and greater willingness to prioritise collective defence and deterrence. This is playing out at the same time as the US is strengthening its military presence in Europe. However, we cannot ignore the fact that current challenges in the transatlantic dialogue also surface in the context of NATO. 
3.3 The development of the present multilateral system after WWII ..... 14",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
EU,2008,ECA,CHINA,"Since 2003, Iran has been a growing source of concern. The Iranian nuclear programme has been subject to successive resolutions in the UNSC and IAEA. Development of a nuclear military capability would be a threat to EU security that cannot be accepted. The EU has led a dual­track approach, combining dialogue and increasing pressure, together with the US, China, and Russia. The High Representative has delivered a far­reaching offer for Iran to rebuild confidence and engagement with the international community. If, instead, the nuclear programme advances, the need for additional measures in support of the UN process grows. At the same time, we need to work with regional countries including the Gulf States to build regional security.",,,X,,"The text is not explicitly directed at the target country: for example, it only mentions the target country or entity in passing without substantive information or statements, it is part of a discussion of another country, entity or concept and mentions the target country only in that context. "
Lithuania,2020,ECA,CHINA,"Russia is interested in new medium-range arms agreements, but only if they restrict the West and are tied to the use of nuclear weapons. Russia seeks to involve other European countries in the negotiation of a new agreement. Although China’s involvement in a similar arms control treaty would also correspond with Moscow’s interests, such an agreement is highly unlikely. 
The assessment is based on information available before 10 December 2019.",,,X,,Includes neutral language without any normative statements made about the target country or entity
Lithuania,2023,ECA,CHINA," The GSI marks a new stage in the implementation of china’s (geo)strategy. Beijing projects the GSI, the Belt and Road Initiative, aimed at securing economic expansion, and the Global Development Initiative, which would strengthen Beijing’s dominance in international organisations, as a foundation for china’s goal to become a leading power in determining the global security agenda. 
of the Republic of lithuania  service under the Ministry of national Defence  
",,,X,,Includes neutral language without any normative statements made about the target country or entity
Sweden,2019,ECA,CHINA,"The security policy situationRev 2019: 890nuclear-armed aviation cruise missiles. Out of oneWestern-European, regional perspective is thus primaryAmerican freefall bombs, which are deployed in some EuropeanNATO countries, which constitute the sub-strategic nuclear capabilityvis-Ã -vis Russia today.4.8AsiaThe political, economic and demographic trends in Asiameans that decisions made in the region will get biggerinternational consequences. China's economy is almost as large asThe United States, while India is the world's fastest growing major economy.Both countries are also in the process of greatly increasing theirsdefense expenditure. They develop into increasingly influential playersregionally, but also globally. Several of Asia's other major states haveaspirations to gain influence outside the region and to play one moresignificant role in multilateral institutions.Security policy developments in Asia revolve around Chinarelationship with the United States and India. In the region there are both official andde facto nuclear weapons states. The Defense Committee notes that itregional integration is weak and to strong regional institutionsmissing. The regional multilateral organizations such as ASEAN( Association of Southeast Asian Nations ) mainly has oneeconomic character and does not play the same important security policyrole such as EU, OSCE and NATO in the Euro-Atlantic context.The Defense Committee estimates that developments in Asia will cometo become increasingly important for Swedish foreign and security policy.With a changing global role, China is influencing the rule-basedmultilateral world order, e.g. by seeking to redefinenorms and strengthen their influence in the institutions. China's strategicinterests extend to our immediate area, including in the Arctic. Immediatelyeffect of China's development is the country's increased investment in Europe,including strategic infrastructure and high-tech companies.China's strategy for so-called civil-military fusion means that Chineseprivate companies must share their technology with China's defense force.The practical meaning of this is that if a technology isavailable to a Chinese company, it is also available to itChinese military. China's acquisition of companies in the future sectors
On December 14, 2016, the Government decided to summon onespecial investigator (dir 2016: 110) with assignment to describeThe Armed Forces' long-term need for equipment and drafting proposalspriorities and streamlining. According to the directives,the investigation's proposals and assessments form the basis forthe government and the Defense Committee's continued work aheadthe defense policy decision for the period after 2020. The assignmentwas reported in the report The Armed Forces' long-term need for equipment(SOU 2018: 7) on February 20, 2018.In accordance with the overall instructions leavesThe Defense Committee this final report to the head ofThe Ministry of Defense with an updated assessment of itsecurity policy developments and coherent consequencesfor Swedish defense and security policy and the development of itmilitary defense during the period 2021-2025. The final report endsThe work of the Defense Committee in accordance with the instructions of 17January 2017 and March 13, 2019.Work on the final report has been led by the MP (empty)September 24, 2018) BjÃ¶rn von Sydow (S) as chairman. OtherMembers of the Defense Committee have been the MPKenneth G Forslund (S), Member of Parliament Ã…sa Lindestam (S)until February 14, 2019 and then the MP NiklasKarlsson (S) from 15 February 2019, Member of Parliament BeatriceAsk (M), Member of Parliament Karin EnstrÃ¶m (M),Riksdag MP Hans Wallmark (M), MP MikaelJansson (SD) until April 17, 2018 and beyondMP Roger Richthoff (SD) from April 18, 2018,MP Daniel BÃ¤ckstrÃ¶m (C), MP LottaJohnsson Fornarve (V), MP Mikael Oscarsson (KD),MP Allan Widman (L) and MP(until September 24, 2018) Anders SchrÃ¶der (MP).Experts in the Defense Committee have been the subject council UlfEliasson until December 13, 2018 and beyondthe department secretary Ingvar Lindholm from 14 December2018, Foreign Council Anna Karin EnestrÃ¶m, Subject Council Ola Hedin,Chancellor Julia Hagberg until March 20, 2018 and beyondChancellor Yosef Belachew from March 21, 2018. Experts iThe preparation has been the office of Chancellor Emma Degerfeldt until January 182018, Chancellor Sara Uddenberg, Major General Urban Molin,",,,X,,Text is fragmented on the part about China share of technologies
Switzerland,2021,ECA,CHINA," rules where this is considered to be in the national interest. In addition, China is increasingly seeking to shape the current world order to promote multipolarity and 
greater attention to security policy and the entire spectrum of threats and dangers. 
",,,X,,Includes neutral language without any normative statements made about the target country or entity
